,City,Country,Lat,Lon,Tmax,% H,Cloudiness,Wind v,Date
356,Togur,RU,58.3631,82.8265,-7.31,90,59,9.06,1614607724
357,Takaungu,KE,-3.6837,39.8566,89.6,55,20,12.66,1614607725
358,Piteå,SE,65.3172,21.4794,42.8,49,0,20.71,1614607630
359,Nālūt,LY,30.3333,10.85,73.51,19,0,9.4,1614607727
360,Dhidhdhoo,MV,6.8833,73.1,84.06,62,57,8.3,1614607728
361,Ajdabiya,LY,30.7554,20.2263,64.27,52,0,12.62,1614607730
362,Tutóia,BR,-2.7619,-42.2744,84.2,79,75,14.97,1614607731
363,Saratoga Springs,US,43.0831,-73.7846,39.0,92,100,7.02,1614607732
364,Carahue,CL,-38.7,-73.1667,68.0,73,0,4.61,1614607733
365,Muros,ES,42.7762,-9.0603,55.0,84,82,10.0,1614607734
366,Rudnogorsk,RU,57.2639,103.7519,-12.66,91,97,2.46,1614607736
367,Lidköping,SE,58.5052,13.1577,48.0,61,0,10.36,1614607464
368,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,95.07,37,0,3.22,1614607739
369,Longonjo,AO,-12.9067,15.2533,73.78,71,100,3.94,1614607740
370,Khovd,MN,48.0056,91.6419,23.67,74,100,7.0,1614607742
371,Calvinia,ZA,-31.4707,19.776,69.8,73,100,9.22,1614607743
372,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,82,40,11.5,1614607615
373,Kismayo,SO,-0.3582,42.5454,80.87,73,9,18.05,1614607746
374,Road Town,VG,18.4167,-64.6167,78.8,73,75,13.8,1614607747
375,Pitkyaranta,RU,61.5734,31.4792,35.35,95,100,13.0,1614607748
376,Vanavara,RU,60.34,102.2797,-20.92,87,100,3.31,1614607750
377,Gorontalo,ID,0.5412,123.0595,76.71,80,100,3.51,1614607586
378,Marsabit,KE,2.3284,37.9899,84.31,25,67,14.65,1614607753
379,Sandusky,US,41.3501,-83.1332,35.01,68,86,11.01,1614607633
380,Fairlie,GB,55.756,-4.8556,51.01,78,0,5.23,1614607755
381,Kamen,DE,51.6,7.6667,50.0,100,90,5.75,1614607756
382,Maputo,MZ,-25.9653,32.5892,79.0,83,75,4.61,1614607541
383,Charyshskoye,RU,51.3978,83.5598,28.09,92,100,11.03,1614607759
384,Litovko,RU,49.2361,135.1742,-2.25,83,0,16.91,1614607760
385,Mosquera,CO,4.7059,-74.2302,60.8,82,40,4.61,1614607761
386,Naze,JP,28.3667,129.4833,65.21,90,40,9.48,1614607764
387,Tornio,FI,65.8481,24.1466,42.8,45,0,19.57,1614607766
388,Hobyo,SO,5.3505,48.5268,80.46,68,66,19.71,1614607767
389,Safaga,EG,26.7292,33.9365,73.4,33,0,13.8,1614607770
390,Aného,TG,6.2333,1.6,91.4,62,20,12.66,1614607771
391,Aykhal,RU,66.0,111.5,-40.5,99,67,2.91,1614607773
392,Petlāwad,IN,23.0,74.8,79.3,11,0,6.06,1614607774
393,Port Antonio,JM,18.18,-76.4612,82.4,65,20,10.36,1614607775
394,Øksfjord,NO,70.2396,22.3479,36.0,86,75,26.46,1614607777
395,Rafai,CF,4.95,23.9167,103.82,8,0,7.7,1614607778
396,Ancud,CL,-41.8697,-73.8203,69.01,82,75,4.61,1614607780
397,Mangla,PK,31.8931,72.3817,67.39,23,0,4.43,1614607783
398,Nyurba,RU,63.2842,118.3319,-29.88,99,52,2.64,1614607785
399,Acarí,PE,-15.4311,-74.6158,79.68,56,96,5.97,1614607786
400,‘Āhuimanu,US,21.4447,-157.8378,73.4,68,40,20.71,1614607788
401,Fare,PF,-16.7,-151.0167,82.47,71,100,5.12,1614607789
402,Mandsaur,IN,24.0667,75.0667,76.41,17,0,6.24,1614607790
403,Vincennes,FR,48.85,2.4333,59.0,50,0,10.36,1614607792
404,Dzhebariki-Khaya,RU,62.2167,135.8,-21.91,86,99,0.87,1614607793
405,Ţahţā,EG,26.7693,31.5021,75.2,29,0,13.8,1614607794
406,Kolomyia,UA,48.5306,25.0403,39.2,75,90,6.71,1614607795
407,Vila Velha,BR,-20.3297,-40.2925,82.99,78,75,8.05,1614607796
408,Noumea,NC,-22.2763,166.4572,71.6,88,0,2.3,1614607798
409,Ayan,RU,56.45,138.1667,-8.07,64,100,12.28,1614607799
410,Borovskoy,KZ,53.8,64.15,-1.19,97,55,3.24,1614607800
411,Mwinilunga,ZM,-11.7358,24.4293,71.85,89,94,4.38,1614607801
412,Seoul,KR,37.5683,126.9778,33.8,93,90,9.22,1614607537
413,Äänekoski,FI,62.6946,25.818,42.8,61,0,14.97,1614607805
414,Orange Cove,US,36.6244,-119.3137,39.99,87,1,5.75,1614607806
415,Bathsheba,BB,13.2167,-59.5167,82.4,51,20,25.32,1614607807
416,São Filipe,CV,14.8961,-24.4956,68.52,72,47,12.44,1614607808
417,San Antonio,US,29.4241,-98.4936,53.6,58,90,17.27,1614607809
418,Kimbe,PG,-5.5502,150.1429,78.48,87,95,4.76,1614607811
419,Coahuayana Viejo,MX,18.7333,-103.6833,71.6,53,1,8.05,1614607812
420,Yarim,YE,14.298,44.3779,60.51,63,19,7.67,1614607813
421,Beyneu,KZ,45.3167,55.2,30.76,92,100,9.44,1614607814
422,Coyhaique,CL,-45.5752,-72.0662,58.15,81,94,5.64,1614607816
423,Grand Gaube,MU,-20.0064,57.6608,80.01,72,0,8.99,1614607817
424,Oodweyne,SO,9.4092,45.064,86.11,26,92,14.99,1614607818
425,Sørland,NO,67.667,12.6934,39.2,75,75,12.66,1614607820
426,Poso,ID,-1.3959,120.7524,81.0,76,100,5.3,1614607821
427,Grindavik,IS,63.8424,-22.4338,41.0,65,75,13.8,1614607823
428,Karratha,AU,-20.7377,116.8463,80.83,52,100,4.16,1614607824
429,Lamu,KE,-2.2717,40.902,81.05,74,36,16.84,1614607825
430,Derzhavīnsk,KZ,51.1,66.3167,9.77,96,100,7.96,1614607827
431,Oulu,FI,65.0124,25.4682,37.99,70,0,19.57,1614607829
432,Itaituba,BR,-4.2761,-55.9836,76.21,96,92,5.32,1614607830
433,Chifeng,CN,42.2683,118.9636,14.79,66,100,1.72,1614607831
434,Wainwright,CA,52.839,-110.8572,15.8,92,69,5.75,1614607832
435,San Andrés,CO,12.5847,-81.7006,82.4,65,20,16.11,1614607684
436,Srednekolymsk,RU,67.45,153.6833,-33.61,83,87,8.01,1614607835
437,Erzin,TR,36.9559,36.2,64.0,32,0,9.15,1614607836
438,Macas,EC,-2.3167,-78.1167,68.0,88,90,1.88,1614607839
439,Jimaní,DO,18.4917,-71.8502,82.4,51,20,9.22,1614607841
440,Tiarei,PF,-17.5333,-149.3333,78.01,83,40,2.3,1614607843
441,Mount Gambier,AU,-37.8333,140.7667,48.2,81,90,5.75,1614607844
442,Kapustin Yar,RU,48.5831,45.7372,29.84,85,0,6.73,1614607845
443,Chatrapur,IN,19.35,84.9833,76.96,79,0,12.37,1614607847
444,Sur,OM,22.5667,59.5289,75.85,58,0,10.22,1614607593
445,Penalva,BR,-3.2942,-45.1736,71.96,98,100,4.32,1614607849
446,Yinchuan,CN,38.4681,106.2731,35.01,27,0,5.99,1614607851
447,Oktyabr'skoye,RU,43.0645,44.7417,39.2,65,75,4.47,1614607852
448,San Cristobal,VE,7.7669,-72.225,77.0,88,40,2.3,1614607853
449,Călăraşi,MD,47.2544,28.3081,39.2,75,90,14.97,1614607855
450,Emba,KZ,48.8264,58.1442,3.9,96,91,7.7,1614607857
451,Aketi,CD,2.7388,23.7833,104.79,11,0,5.06,1614607858
452,Toba Tek Singh,PK,30.9743,72.4827,70.05,21,0,8.59,1614607859
453,Jibert,RO,46.0,25.0667,39.0,79,100,5.99,1614607860
454,Cabedelo,BR,-6.9811,-34.8339,80.6,89,75,8.05,1614607861
455,Kalabo,ZM,-14.97,22.6814,73.78,68,96,7.0,1614607863
456,Vanimo,PG,-2.6741,141.3028,79.95,83,100,8.7,1614607864
457,Gaoual,GN,11.75,-13.2,99.36,11,51,6.08,1614607865
458,Bilibino,RU,68.0546,166.4372,-20.72,81,0,4.65,1614607868
459,Samarai,PG,-10.6167,150.6667,82.17,79,100,10.69,1614607869
460,Klyuchi,RU,52.2667,79.1667,31.46,98,93,11.23,1614607870
461,Nanortalik,GL,60.1432,-45.2371,25.3,92,4,12.91,1614607872
462,Vuktyl,RU,63.8567,57.3094,11.61,95,100,18.54,1614607873
463,Madison,US,34.7334,-86.5667,57.0,100,90,9.44,1614607851
464,Messina,IT,38.1933,15.5497,59.0,58,40,3.44,1614607875
465,Nyuksenitsa,RU,60.4128,44.2397,30.0,98,100,12.48,1614607876
466,Roald,NO,62.5833,6.1333,46.4,87,75,28.77,1614607878
467,Kodra,UA,50.5949,29.5587,37.0,87,75,11.18,1614607880
468,Yumen,CN,40.2833,97.2,37.27,61,0,9.75,1614607882
469,Daru,PG,-9.0763,143.2092,79.74,85,100,13.56,1614607811
470,Gornopravdinsk,RU,60.05,69.9,-5.35,91,8,3.47,1614607885
471,Vetluga,RU,57.8557,45.781,25.52,98,100,11.1,1614607886
472,Ostrovnoy,RU,68.0531,39.5131,29.71,96,70,17.45,1614607887
473,Abhā,SA,18.2164,42.5053,66.2,59,40,8.05,1614607786
474,Airai,TL,-8.9266,125.4092,60.84,100,100,0.56,1614607890
475,Tyrma,RU,50.0833,132.1667,-16.08,85,0,2.48,1614607891
476,Yabrūd,SY,33.9674,36.6574,59.0,51,20,18.41,1614607690
477,Locri,IT,38.2414,16.2623,60.8,63,27,8.05,1614607893
478,Rawson,AR,-43.3002,-65.1023,79.97,36,100,2.66,1614607848
479,Te Anau,NZ,-45.4167,167.7167,54.79,88,21,0.74,1614607896
480,Santa Barbara,US,34.7333,-120.0343,45.0,75,1,6.31,1614607897
481,Pargas,FI,60.3067,22.301,41.0,70,0,11.5,1614607899
482,Felipe Carrillo Puerto,MX,19.5833,-88.05,79.23,75,16,6.22,1614607900
483,Nhulunbuy,AU,-12.2333,136.7667,82.4,83,100,10.36,1614607901
484,Ridgewood,US,40.9793,-74.1165,42.01,100,90,5.75,1614607834
485,Dīr,PK,35.2058,71.8756,47.7,46,0,4.07,1614607904
486,Sorong,ID,-0.8833,131.25,81.95,76,81,4.68,1614607659
487,Ayagoz,KZ,47.9714,80.4392,21.18,93,100,12.73,1614607906
488,Province of Mantua,IT,45.1667,10.7833,61.0,41,0,3.0,1614607907
489,Kyren,RU,51.6828,102.1408,9.39,81,74,3.69,1614607909
490,Saint George,US,37.1041,-113.5841,32.0,34,1,6.91,1614607796
491,Abu Dhabi,AE,24.4667,54.3667,80.6,38,0,8.05,1614607620
492,Doha,QA,25.2867,51.5333,71.6,73,20,9.22,1614607663
493,Irkutsk,RU,52.2978,104.2964,5.0,56,0,13.42,1614607759
494,Lo Arado,MX,19.6167,-104.5833,68.0,73,1,6.91,1614607915
495,Sunndalsøra,NO,62.6754,8.5515,46.4,87,75,32.21,1614607917
496,Amapá,BR,1.0,-52.0,79.57,83,99,4.34,1614607918
497,Bontang,ID,0.1333,117.5,82.22,75,100,2.15,1614607690
498,Vao,NC,-22.6667,167.4833,77.32,81,28,16.96,1614607921
499,Nakambala,ZM,-15.8324,27.7799,65.88,86,100,10.47,1614607922
500,La Romana,DO,18.4273,-68.9728,75.2,94,20,4.61,1614607923
501,Stockbridge,US,33.5443,-84.2338,57.99,94,90,4.61,1614607925
502,Cooma,AU,-36.2333,149.1333,50.0,87,24,4.61,1614607926
503,Tateyama,JP,34.9833,139.8667,60.01,91,99,1.99,1614607927
504,Aborlan,PH,9.4352,118.5492,78.58,82,0,5.01,1614607929
505,Pochutla,MX,15.7432,-96.4661,71.6,78,1,2.17,1614607930
506,Asadābād,IR,34.7824,48.1185,50.0,43,20,6.91,1614607692
507,Taseyevo,RU,57.2169,94.8978,-6.2,89,100,5.08,1614607932
508,Bintulu,MY,3.1667,113.0333,77.0,94,20,3.76,1614607934
509,Edd,ER,13.9297,41.6925,81.34,67,89,12.28,1614607935
510,Olafsvik,IS,64.8945,-23.7142,39.83,71,99,21.12,1614607936
511,Aksu,CN,41.1231,80.2644,36.63,71,0,2.75,1614607937
512,Fairbanks,US,64.8378,-147.7164,-4.0,71,75,9.22,1614607793
513,Mehamn,NO,71.0357,27.8492,35.6,87,75,18.41,1614607940
514,Sisimiut,GL,66.9395,-53.6735,3.54,90,100,17.05,1614607941
515,Rensvik,NO,63.1,7.8167,44.6,87,75,32.21,1614607943
516,Ciudad Real,ES,39.0,-4.0,59.0,63,36,1.99,1614607945
517,Manzhouli,CN,49.6,117.4333,-7.37,90,90,3.8,1614607946
518,Omsukchan,RU,62.5333,155.8,-27.78,92,100,4.25,1614607948
519,Narsaq,GL,60.9167,-46.05,24.8,42,20,8.05,1614607950
520,Malatya Province,TR,38.5,38.0,48.2,29,40,18.41,1614607951
521,Verkh-Usugli,RU,52.7,115.1667,-6.27,91,100,1.28,1614607952
522,Bam,IR,29.106,58.357,70.18,22,52,1.41,1614607955
523,Araouane,ML,18.9048,-3.5265,90.1,10,10,5.86,1614607959
524,Port Macquarie,AU,-31.4333,152.9167,71.01,99,3,8.77,1614607960
525,Nizhnyaya Omka,RU,55.4338,74.9426,5.86,95,92,6.49,1614607961
526,Lufilufi,WS,-13.8745,-171.5986,77.0,100,40,5.75,1614607963
527,Bonthe,SL,7.5264,-12.505,85.51,67,63,10.16,1614607964
528,Palembang,ID,-2.9167,104.7458,80.6,89,20,4.61,1614607965
529,Victor Harbor,AU,-35.5667,138.6167,60.01,68,88,15.75,1614607966
530,Ishigaki,JP,24.3448,124.1572,72.99,77,99,6.87,1614607967
531,Bubaque,GW,11.2833,-15.8333,80.56,48,0,11.01,1614607968
532,Iqaluit,CA,63.7506,-68.5145,-7.6,71,75,11.5,1614607902
533,Maceió,BR,-9.6658,-35.7353,75.2,94,90,6.91,1614607971
534,Alice Springs,AU,-23.7,133.8833,87.01,19,0,8.68,1614607973
535,Santa Marta,CO,11.2408,-74.199,82.99,52,100,18.99,1614607974
536,Hambantota,LK,6.1241,81.1185,82.4,65,20,5.75,1614607975
537,Ahipara,NZ,-35.1667,173.1667,63.18,92,10,5.55,1614607977
538,Holland,US,42.7875,-86.1089,32.0,59,90,13.8,1614607886
539,Southbridge,US,42.0751,-72.0334,39.0,99,100,4.52,1614607760
540,Atyrau,KZ,47.1167,51.8833,30.2,80,75,6.71,1614607980
541,Zhizdra,RU,53.746,34.7395,35.6,69,90,8.95,1614607982
542,Malbork,PL,54.0359,19.0266,52.0,66,0,14.97,1614607876
543,Ürümqi,CN,43.801,87.6005,12.2,73,0,4.47,1614607932
544,Rongcheng,CN,30.634,117.8517,45.97,88,100,6.51,1614607985
545,Chul'man,RU,56.8479,124.9104,-26.37,83,100,2.68,1614607988
546,Fredericton,CA,45.9454,-66.6656,35.6,75,90,13.8,1614607990
547,Itarema,BR,-2.9248,-39.9167,85.01,67,84,14.85,1614607992
548,Chipata,ZM,-13.6333,32.65,69.12,88,100,3.87,1614607993
549,Yārāda,IN,17.65,83.2667,80.6,78,20,4.61,1614607996
550,Port Hardy,CA,50.6996,-127.4199,42.8,93,90,3.44,1614607800
551,Hauterive,FR,46.0901,3.4459,64.4,27,0,11.5,1614607998
552,Rubtsovsk,RU,51.5,81.25,32.41,98,100,23.58,1614607999
553,Charagua,BO,-19.8,-63.2167,75.2,78,75,1.5,1614608001
554,Montepuez,MZ,-13.1256,38.9997,78.58,86,100,3.83,1614608002
555,Santa Fe,AR,-31.6333,-60.7,87.01,64,0,3.0,1614608003
556,Black River,JM,18.0264,-77.8487,82.99,69,20,8.05,1614608004
557,Rio Claro,BR,-22.4114,-47.5614,77.0,73,40,4.61,1614608006
558,Makakilo City,US,21.3469,-158.0858,71.6,68,40,6.91,1614608008
559,Portland,US,45.5234,-122.6762,41.0,87,75,0.16,1614607782
560,Shimoda,JP,34.6667,138.95,50.0,87,66,6.67,1614608010
561,Taoudenni,ML,22.6783,-3.9836,86.0,12,0,11.65,1614608011
562,Liaoyang,CN,41.2719,123.1731,17.6,45,0,8.95,1614608012
563,Flin Flon,CA,54.7682,-101.865,-14.8,64,90,7.78,1614608013
564,Erenhot,CN,43.6475,111.9767,16.25,93,0,3.74,1614608015
565,Verkhnevilyuysk,RU,63.4453,120.3167,-30.26,84,37,3.36,1614607934
566,Teknāf,BD,20.8624,92.3058,73.24,90,0,5.26,1614608017
567,Salina Cruz,MX,16.1667,-95.2,76.12,76,0,3.71,1614608019
568,Sola,VU,-13.8833,167.55,81.64,76,59,11.3,1614608020
569,Maraã,BR,-1.8333,-65.3667,73.27,99,100,0.72,1614608022
570,Hojāi,IN,26.0,92.8667,78.82,29,88,3.74,1614608024
571,Manokwari,ID,-0.8667,134.0833,80.47,75,100,6.91,1614608025
572,Priozyornoye,UA,45.2698,36.3303,39.18,84,92,8.14,1614607939
573,Ihosy,MG,-22.4,46.1167,77.38,77,88,8.61,1614608027
574,Nakhodka,RU,42.8333,132.8947,19.26,79,100,12.44,1614608029
575,Hohhot,CN,40.8106,111.6522,30.2,37,0,6.71,1614608030
576,Castaños,MX,26.7833,-101.4167,66.54,73,15,1.01,1614608031
577,Shache,CN,38.4167,77.2406,42.03,61,0,5.3,1614608033
578,Zabid,YE,14.1951,43.3152,84.36,56,50,5.93,1614608034
579,Rincon,US,32.296,-81.2354,71.6,83,90,11.5,1614608035
580,Imeni Poliny Osipenko,RU,52.4201,136.4853,-15.11,79,0,3.58,1614608036
581,Hay River,CA,60.8156,-115.7999,-5.8,77,75,4.61,1614608037
582,Sangmélima,CM,2.9333,11.9833,86.76,41,100,2.55,1614608039
583,Richards Bay,ZA,-28.783,32.0377,76.64,72,54,9.84,1614608040
584,Marystown,CA,47.1666,-55.1483,31.69,94,50,12.71,1614608043
585,Lata,PT,40.1629,-8.3327,62.01,67,75,6.91,1614608044
586,High Rock,BS,26.6208,-78.2833,78.8,73,75,13.8,1614608047
587,Wentzville,US,38.8114,-90.8529,32.0,85,0,1.01,1614607915
588,Ondangwa,NA,-17.9167,15.95,95.0,24,75,8.05,1614608049
589,Yukhnov,RU,54.7444,35.2297,34.3,91,100,9.24,1614608051
590,Libreville,GA,0.3925,9.4537,84.2,84,20,6.91,1614607971
591,San Quintín,MX,30.4833,-115.95,52.41,52,0,2.57,1614608053
592,Tura,IN,25.5198,90.2201,69.76,25,0,0.78,1614608054
593,Quepos,CR,9.4236,-84.1652,73.4,73,40,10.36,1614608055
594,Rio Grande,BR,-32.035,-52.0986,80.6,78,75,13.8,1614608057
595,Trairi,BR,-3.2778,-39.2689,81.45,82,40,11.65,1614607937
596,City of San Pedro,PH,14.35,121.0167,82.4,74,20,6.91,1614607837
597,Mangan,IN,27.5167,88.5333,60.42,90,100,2.01,1614608061
598,Hofn,IS,64.2539,-15.2082,42.8,61,0,5.75,1614608062
599,Bălţi,MD,47.7617,27.9289,39.0,79,98,10.0,1614608064
600,Minot,US,48.2325,-101.2963,3.2,78,90,11.5,1614608010
601,Solnechnyy,RU,50.7214,136.6319,-7.24,82,9,3.02,1614608067
602,Salinas,US,36.6777,-121.6555,44.6,53,1,14.97,1614607873
603,Arman',RU,59.7,150.1667,-4.32,80,100,8.41,1614608070
604,Buckingham,GB,51.9997,-0.9878,50.0,93,75,10.36,1614608072
605,Shelburne,CA,44.0787,-80.2041,28.99,80,83,18.21,1614608073
606,Hadejia,NG,12.4498,10.0444,99.66,9,0,14.56,1614608075
607,Phulbāni,IN,20.4667,84.2333,75.0,23,0,2.3,1614608076
608,Varhaug,NO,58.6147,5.6457,44.01,90,57,1.99,1614608077
609,Lockhart,US,28.6194,-81.4426,77.0,83,75,11.5,1614607955
610,Porto-Novo,BJ,6.4965,2.6036,89.6,70,20,12.66,1614608079
611,Halvad,IN,23.0167,71.1833,73.53,25,0,6.62,1614608081
612,Ponnampet,IN,12.15,75.9333,70.39,71,0,3.83,1614608082
613,Ossora,RU,59.2353,163.0719,-4.34,84,100,6.15,1614608083
614,Ankazoabo,MG,-22.2833,44.5167,80.74,80,86,3.91,1614608084
615,Yulara,AU,-25.2406,130.9889,89.6,18,3,6.91,1614608086
616,Kibaya,TZ,-5.3,36.5667,69.82,87,100,4.94,1614608087
617,Pokhara,NP,28.2333,83.9833,65.55,28,16,7.58,1614608037
618,Borba,BR,-4.3878,-59.5939,77.29,87,98,3.27,1614608089
619,Lima,PE,-12.0432,-77.0282,78.8,73,0,4.61,1614607827
620,Kashgar,CN,39.4547,75.9797,41.0,52,20,6.71,1614608092
621,Igarka,RU,67.4667,86.5833,-30.84,82,39,8.01,1614608094
622,Bumba,CD,2.1833,22.4667,103.46,15,0,5.1,1614608095
623,Port-Gentil,GA,-0.7193,8.7815,77.0,83,20,11.56,1614608096
624,Juneau,US,58.3019,-134.4197,35.6,80,90,12.66,1614608097
625,Terrace,CA,54.5163,-128.6035,32.0,100,90,2.13,1614607814
626,Bengkulu,ID,-3.8004,102.2655,79.88,83,100,1.25,1614608100
627,Carutapera,BR,-1.195,-46.02,78.62,91,100,5.26,1614608102
628,Katherine,AU,-14.4667,132.2667,84.2,65,1,10.36,1614608103
629,Kumul,CN,42.8,93.45,35.4,25,0,6.73,1614608105
630,Mahabalipuram,IN,12.6264,80.1722,80.6,69,0,6.91,1614608106
631,Betsiamites,CA,48.9413,-68.646,32.0,100,90,9.22,1614608107
632,Kayerkan,RU,69.3497,87.7602,-32.69,79,0,5.99,1614608108
633,Shingū,JP,33.7333,135.9833,58.82,88,97,5.88,1614608110
634,Egvekinot,RU,66.3167,-179.1667,-19.71,81,51,23.4,1614608111
635,Kloulklubed,PW,7.0419,134.2556,77.0,88,75,3.44,1614608112
636,Bossangoa,CF,6.4926,17.4552,105.37,9,0,7.0,1614608113
637,Jamame,SO,0.0722,42.7506,83.46,62,75,17.29,1614608115
638,Celestún,MX,20.8667,-90.4,77.0,73,0,16.06,1614608116
639,Demak,ID,-6.8909,110.6396,82.4,83,40,4.61,1614608117
640,Iranshahr,IR,27.2025,60.6848,82.4,14,0,9.22,1614608118
641,The Valley,AI,18.217,-63.0578,78.8,61,20,14.97,1614607888
642,Marathon,US,44.9,-89.7668,14.0,57,1,13.8,1614608120
643,Saint Anthony,US,45.0205,-93.218,14.0,67,1,9.22,1614608122
644,Taltal,CL,-25.4,-70.4833,70.3,66,1,4.94,1614608126
645,Lewistown,US,40.5992,-77.5714,42.8,100,75,6.91,1614608127
646,Mozarlândia,BR,-14.7447,-50.5706,75.22,86,93,3.02,1614608128
647,Douentza,ML,14.9951,-2.9517,98.37,6,39,8.52,1614608130
648,Bocas del Toro,PA,9.3333,-82.25,72.93,83,100,8.43,1614607925
649,Puro,PH,12.4841,123.3827,78.93,84,60,8.21,1614608132
650,Finnsnes,NO,69.2296,17.9811,33.8,86,90,16.11,1614608134
651,Ginda,IN,30.6945,78.4932,71.6,37,0,4.72,1614608135
652,Simbahan,PH,6.3032,120.5836,83.77,76,0,4.23,1614608136
653,Nagua,DO,19.3832,-69.8474,77.0,78,40,9.22,1614608138
654,Perelyub,RU,51.8667,50.3667,2.97,93,93,6.64,1614608140
655,Maracaí,BR,-22.6106,-50.6672,79.52,69,71,8.41,1614608141
656,Northam,GB,51.0333,-4.2167,50.0,84,8,8.01,1614608144
657,Carlisle,US,40.2015,-77.1889,41.0,87,90,8.05,1614608146
658,Starokostiantyniv,UA,49.7576,27.2034,38.44,75,99,7.9,1614608147
659,Sioux Lookout,CA,50.1001,-91.917,-13.0,70,1,8.05,1614608149
660,Damietta,EG,31.4165,31.8133,66.2,68,20,11.5,1614608150
661,Fort Beaufort,ZA,-32.7748,26.6338,95.16,25,15,10.71,1614608151
662,Tumbes,PE,-3.5667,-80.4414,78.8,89,90,3.24,1614608154
663,Guaíra,BR,-20.3183,-48.3106,80.22,64,97,8.59,1614608155
664,Chopda,IN,21.25,75.3,84.65,18,0,0.83,1614608157
665,Port Shepstone,ZA,-30.7414,30.455,76.73,74,36,20.62,1614608158
666,Lewisporte,CA,49.2499,-55.0482,26.6,93,90,16.11,1614608159
667,Atikokan,CA,48.7555,-91.6216,-10.26,87,0,7.96,1614608160
668,Sidi Ali,DZ,36.0998,0.4206,69.04,38,100,11.83,1614608162
669,Necochea,AR,-38.5473,-58.7368,82.99,61,35,3.0,1614608163
670,Evensk,RU,61.95,159.2333,-0.17,67,100,10.78,1614608164
671,Tokoroa,NZ,-38.2333,175.8667,57.0,89,100,2.24,1614608165
672,Santa Cruz de Tenerife,ES,28.4682,-16.2546,64.0,72,75,16.11,1614607875
673,Guangzhou,CN,23.1167,113.25,72.0,78,75,17.9,1614608044
674,Tiznit Province,MA,29.5833,-9.5,60.26,56,17,11.95,1614608169
675,Arrondissement de Saint-Denis,FR,48.9167,2.3333,55.4,44,0,10.36,1614608170
676,Yerbogachën,RU,61.2767,108.0108,-24.75,86,92,3.38,1614607934
677,Guider,CM,9.9342,13.9486,100.4,10,0,10.74,1614607982
678,Rundu,NA,-17.9333,19.7667,72.9,66,71,8.66,1614608173
679,Foam Lake,CA,51.65,-103.5343,6.8,78,99,24.16,1614608174
680,Simao,CN,22.7886,100.9748,60.96,42,0,2.48,1614608176
